Reviewer,Rating,Review,Reviewer_page,Review_time
Andrew Barajas,5 stars,"The Atmosphere was very fun. Great music, great customer service by Miss Leena! She made sure that our cake was personalized and we were more than happy with the taste! We will be there very often! We also had their Tarts and they were SO GOOD!  RECOMMEND EVERYBODY GOES!",https://www.google.com/maps/contrib/114230589471759663255/reviews?hl=en,2 weeks ago
Jessica Ax,4 stars,"Tasty Japanese Cheesecake that is a bit pricey but unique.

Atmosphere was bright and cheery. Digital menu board was crowded. Large seating area could accommodate quite a few people enjoying beverages and treats but the only people there when we visited around lunch on a Sunday were vagrants charging items at the tables. A bit off-putting.

Actual cheesecake is significantly different than American cheesecake. Light and fluffing in texture with mild sweetness. I quite liked it. We also purchased a strawberry tart. This had a strange aftertaste that I would not purchase again.

Fun place to try, but a bit too pricey for what it is.",https://www.google.com/maps/contrib/114936444529553554932/reviews?hl=en,5 months ago
Jacqueline Gibbons,5 stars,"I was curious about this place, so I decided to go in and try. Very silky and fluffy cheesecake! I got it with a Carmel topping. It was a mild sweet, which i liked because i don't like super sweet things. It was about $10 for a regular size one. The medium size was about $20 and the large almost $50. [Correction: large is $39.99. I meant to put $40 and hit the 5 instead!] I also got a blended chai. It was more milky and sweet. A nice summer treat!

Nice workers who let me take my time looking at the menu and answered my questions.",https://www.google.com/maps/contrib/106116611208791227560/reviews?hl=en,6 months ago
Celiboy Vega,5 stars,I really wanted to try these Japanese cheese cakes because they look so fluffy and delicious and they are good. I also got a peppermint snow shake which was too and a pistachio tart. I have to say out of the three pistachio tart was my favorite then fluffy cheesecake then lastly the shake. I will definitely keep this place as my go to for my sweet tooth! Thanks again for the great service! Check out my pics lol,https://www.google.com/maps/contrib/109233165098025551913/reviews?hl=en,6 months ago
"Stephanie Trecha, LCSW",5 stars,"First time visitor, and I tried the coconut tart, a small cheesecake, and an iced caramel macchiato. The coconut tart was the most delicious tart I’ve ever tried, the crust was cooked to perfection, and the coconut flavor was refreshingly sweet yet tart. The cheesecake is delicious and reminds me of a cross between cheesecake and pound cake. It would be delicious with any number of topping options as well, although it’s satisfyingly sweet on its own. I can’t wait to go back and try other tart flavors, and get more cheesecake.",https://www.google.com/maps/contrib/104604420006767330353/reviews?hl=en,3 months ago
Darnell Fields,5 stars,Wow ! Saw them on instagram and had to try it. They did not disappoint. The Japanese cheese cake is amazing. And the little tarts are delicious. They have different flavors. They also serve coffees and other drinks. I must go back for more😋,https://www.google.com/maps/contrib/109282592350786842285/reviews?hl=en,10 months ago
Wendy L,3 stars,"Uncle Fluffy has made its way to Riverside to bring us their  take on Japanese cheesecake and tarts.

FOOD / DRINKS
The delicate, light and fluffy Japanese cheesecake just melts in your mouth and is not to be confused with the dense and heavy American cheesecakes. I tried their Original Cheese Tart and their Mango Tart and I preferred the Mango Tart. Not outstanding but not terrible either. The Original Tart had an off-putting “it’s been sitting in the fridge” taste. Ugh. On a positive note, the cheesecake was good and I enjoyed it. They do have delicious-looking drinks or teas I’d like to try some time.

LOCATION / PARKING
Uncle Fluffy is located on Magnolia near Tyler (across from the Galleria at Tyler) in Riverside. There’s limited parking, as the lot is shared by other neighboring businesses within the plaza.

ATMOSPHERE
The shop is decorated in almost all white from the flooring to the walls and to the table; however, the atmosphere didn’t feel bright or open for me. It had a weird ambiance - almost uninviting. The lighting was a bit dim too (see photo). It’s one of the things I look for so this was a minus in my book.

SERVICE
Being that I was the only one in the shop, I expected good service but the girl who helped me wasn’t as helpful as I’d like. I asked her which items were most popular here but she didn’t have any recommendations for me.

BRANDING
I like their signage at the front - good font choice. But the box and overall branding wasn’t up to par with my personal taste in gift-giving. The box itself is glossy but with outdated hues of yellow and brown that didn’t match the more prettier posters at the front of their store.

Overall, I think it’s great that Riverside to has a different dessert option like Uncle Fluffy. I do like their cheesecake and would happily recommend you try it!",https://www.google.com/maps/contrib/102297794768718252584/reviews?hl=en,10 months ago
Jessica Quinones,5 stars,"Coffee's were great (caramel latte & white toffee mocha) and cheesecakes were great, not very sweet but very fluffy! Don't expect your typical cheesecake flavor sweetness. Would be great with a little topping. Staff was very friendly. Great experience.",https://www.google.com/maps/contrib/105663516509268950664/reviews?hl=en,8 months ago
chad zerbe,3 stars,"My wife saw this place on social media and wanted to try it. We had a Japanese cheesecake, 3 tarts, 2 strawberry shakes, and 1 frozen coffee. I used a dollar bill folded in half (3 inches) to show the size of the cake and tarts. The cake was very fluffy but did not have a cheesecake taste, but I'm not sure if it is supposed to being a ""Japanese cheesecake."" The tarts were frozen and did not have much flavor to them. The strawberry shakes and frozen coffee were very good and very creamy. We enjoyed our time and the food, but this is a one-time visit for us.",https://www.google.com/maps/contrib/102112827371707467613/reviews?hl=en,a year ago
raco califas,2 stars,"Small location with a decent amount of standing area, the cheesecake was fluffy but somehow dry at the same time. The prices are extremely over prices for a large or XL cake that are not much bigger than muffins or cinnamon rolls $27- 35 a piece, not much for your bank. The last issue I had has the asking for a tip when paying, the girl at the cash register literally just handed me the cakes and asked for a tip as I signed out. $70 out the door for 2 cakes about 5""×6"" this place is definitely over hype, this was my first and my last time. The cake was not magical nor by any means great, it was simply okay.",https://www.google.com/maps/contrib/103083312910972473128/reviews?hl=en,10 months ago
